NomeCanale;Titolo;Tipo;Genere;Attori;orario
Rai 1;La concessione del telefono;(FILM 1ªTv);Drammatico-giallo 2020;Alessio Vassallo;21.30
Rai 1;Frontiere - Coronavirus;(CULTURA);Cronaca;;23.45
Rai 1;S'è fatta notte;(APPROFONDIMENTO);TVMeteo;;0.45
Rai 1;Rai News 24;(APPROFONDIMENTO);TVMeteo;;1.15
Rai 2;"Stasera tutto è possibile 2019 ""P. 1""";(SVAGO);Gioco, varietà;Stefano De Martino;21.25
Rai 2;The Startup - Accendi il tuo futuro;(FILM);Imprenditoria 2017;Andrea Arcangeli;0.10
Rai 3;"In arte ""Mina""";(SVAGO);Musica, repertorio;;21.20
Rai 3;"Commissari Ⅲ ""Il piccolo Tommy""";(APPROFOND.);Cronaca nera;Giuseppe Rinaldi;23.20
Rai 3;TG3 Linea Notte / Meteo 3;(APPROFOND.);TVMeteo;;0.00
Rete 4;Stasera Italia - Coronavirus;(APPROFONDIMENTO);Dibattito, attualità;;21.25
Rete 4;"Ieri e oggi in Tv ""Mina""";(SVAGO);Musica, repertorio;;23.15
Rete 4;TG4 Ultima ora;(SVAGO);TVMeteo;;2.00
Canale 5;La vita è una cosa meravigliosa;(FILM);Commedia-satirico 2010;Enrico Brignano;21.40
Canale 5;TG5 Notte / Meteo;(FILM);TVMeteo;;23.50
Canale 5;I laureati;(FILM);Commedia-satirico 1995;L. Pieraccioni;0.35
Italia 1;Harry Potter e il prigioniero di Azkaban;(FILM);i Fantastico-avventura 2004;Daniel Radcliffe;21.20
Italia 1;"Legacies Ⅰ ""Episodi 5,6""";(TELEFILM 1ªTv);Fantastico-orrore;Danielle Rose Russell;0.05
La 7;Coronavirus: la trincea in corsia;(APPROFONDIMENTO);Cronaca, attualità;;21.20
La 7;TG La7;(APPROFONDIMENTO);TVMeteo;;0.00
Tv 8;"Quattro ristoranti Ⅴ ""Riviera di Ulisse""";(SVAGO);Gara culinaria tra ristoranti;A.Borghese ;21.30
Nove;"Little Big Italy Ⅲ ""Dallas""";(SVAGO);TVMeteo;;21.30
Rai 4;"Siren Ⅱ ""Episodi 5,6""";(TELEFILM 1ªTv);Fantastico-giallo;Alex Roe ;21.20
Rai 5;Arthur Conan Doyle;(CULTURA);Letteratura;;21.15
Rai Movie;Pronti a morire;(FILM);Thriller-western 1995;Sharon Stone ;21.10
Iris;L'esorcista - Versione integrale;(FILM);Paranormale-orrore 1973;Max Von Sydow ;21.10
La 5;Rosamunde Pilcher;(TELEFILM);Drammatico-romantico;;21.10
Venti;Rogue One - A Star Wars Story;(FILM);Fantascienza-guerra 2016;Felicity Jones ;21.10
Spike;Top Gear;(SVAGO);Motori;;21.30
Cielo;Curiosa;(FILM);TVMeteo;Niels Schneider ;21.20
Paramount Network;Jack Ryan - L'iniziazione;(FILM);Thriller-spionaggio 2014;Chris Pine ;21.10
