NomeCanale;Titolo;Tipo;Genere;Attori;orario
Rai 1;Un nuovo giorno;(SVAGO);Musica lirica;Andrea Bocelli;21.30
Rai 1;Porta a porta;(APPROFONDIMENTO);Dibattito, politica;Bruno Vespa;0.00
Rai 1;Rai News 24;(APPROFONDIMENTO);TVMeteo;;1.40
Rai 2;Finalmente sposi;(FILM 1ªTv);Commedia-satirico 2018;Monica Lima;21.25
Rai 2;Vieni a vivere a Napoli;(FILM);Episodi-satirico 2016;Antonio Casagrande;23.05
Rai 3;"Carta bianca Ⅳ ""Puntata 33""";(APPROFONDIMENTO);Cronaca, politica;Bianca Berlinguer;21.15
Rai 3;TG3 Linea Notte / Meteo 3;(APPROFONDIMENTO);TVMeteo;;0.00
Rete 4;"Fuori dal coro Ⅱ ""Puntata 32""";(APPROFOND.);Dibattito, politica;Mario Giordano;21.20
Rete 4;Vicky Cristina Barcelona;(FILM);Grottesco-romantico 2008;Javier Bardem;0.45
Rete 4;TG4 Ultima ora;(FILM);TVMeteo;;2.15
Canale 5;Karol - Un Papa rimasto uomo;(FILM);Biografico-religioso 2006;Piotr Adamczyk;21.45
Canale 5;X-Style;(APPROFONDIMENTO);Moda;;0.30
Canale 5;TG5 Notte / Meteo;(APPROFONDIMENTO);TVMeteo;;1.00
Italia 1;Le iene show - Martedì;(DIVERTIMENTO);Satira, inchieste;;21.15
Italia 1;American Dad ⅩⅤ;(DIVERTIMENTO 1ªTv);TVMeteo;;1.00
La 7;"Di martedì Ⅵ ""Puntata 32""";(APPROFONDIMENTO);Dibattito, politica;Giovanni Floris;21.20
La 7;TG La7;(APPROFONDIMENTO);TVMeteo;;0.55
Tv 8;Spider-Man: Homecoming;(FILM);Commedia-fantascienza 2017;Tom Holland ;21.30
Nove;Sei giorni sette notti;(FILM);Avventura-romantico 1998;Harrison Ford ;21.35
Rai 4;Vendetta finale;(FILM);Drammatico-azione 2017;Antonio Banderas ;21.25
Rai 5;Demolition - Amare e vivere;(FILM);TVMeteo;J. Gyllenhaal ;21.15
Rai Movie;I segreti di Brokeback Mountain;(FILM);Omosessualità-western 2005;Heath Ledger ;21.10
Iris;Cavalca vaquero!;(FILM);TVMeteo;Robert Taylor ;21.10
La 5;Sliding Doors;(FILM);TVMeteo;Gwyneth Paltrow ;21.10
Venti;Scott Pilgrim vs. the World;(FILM);Commedia-azione 2010;Michael Cera ;21.05
Spike;"Spartacus Ⅰ ""Episodi 7,8,9""";(TELEFILM);Biografico-azione;Andy Whitfield;21.30
Cielo;Into the Wild - Nelle terre selvagge;(FILM);Biografico-avventura 2007;Emile Hirsch ;21.15
Paramount Network;Nata per vincere;(FILM);Musica-scolastico 2004;Hilary Duff ;21.15
