mbid,artist_mb,tags_mb,listeners_lastfm
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,5381567
a74b1b7f-71a5-4011-9441-d0b5e4122711,Radiohead,rock; electronic; alternative rock; british; grunge; uk; britannique; britpop; art rock; experimental rock; english; chamber pop; parlophone; england; melancholic; oxford; bootleg; rock and indie; c’était mieux avant; art pop; nude; sacred cows,4732528
8bfac288-ccc5-448d-9573-c33ea2aa5c30,Red Hot Chili Peppers,rock; alternative rock; 80s; 90s; rap; metal; american; crossover; usa; funk; funk rock; alternative; pop rock; funk metal; rap rock; 00s; dvd; pop and chart; 10s; funk rock tributo,4620835
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,pop; dance; hip hop; reggae; contemporary r b; electropop; rnb; barbadian; dance-pop; dancehall; electro house; pop and chart; pop soul; rihanna; barbadien; barbados; barbade; rehab; r&b; contemporary r&b,4558193
b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,turkish; rap; american; hip-hop; hip hop; hiphop; midwest hip-hop; detroit hip-hop; pop rap; horrorcore; rapper; us; pop and chart; eminem; 8 mile; boom bap; v; comedy rap; hardcore hip hop,4517997
95e1ead9-4d31-4808-a7ac-32c3614c116b,The Killers,synthpop; alternative rock; american; new wave; usa; indie rock; alternative; américain; post-punk revival; pop rock; heartland rock; rock and indie; united states,4428868
164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West,synthpop; pop; american; hip-hop; hip hop; electropop; producer; pop rap; rapper; us; hip hop rnb and dance hall; experimental hip hop; grammy winner; hardcore hip hop,4390502
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,rock; alternative rock; 90s; punk; american; experimental; seattle; grunge; band; usa; alternative; américain; legendary; acoustic rock; noise rock; 90; northwest; rock and indie; united states; nirvana; kurt cobain,4272894
9c9f1380-2516-4fc9-a3e6-f9f61941d090,Muse,rock; electronic; synthpop; alternative rock; progressive rock; metal; british; uk; britannique; funk rock; producer; pop rock; symphonic rock; new prog; english; producteur; rock and indie; alternative-rock; male; best,4089612
83a24c80-2d60-4ee3-82d6-760678e2cbd0,Fedez,rap; Electro Pop; italian; Italy; pop rap; hip house; Rap Italiano; Hip-Hop; hip hop; All; Elettronica; tc; politic rap; FEDEZ Emis Killa; italian trap,4089612
